Name,Domestic City,Domestic State,County
Environmental Finance and Impact Investing - NYC Trek,NYC,NY,New York
Communcation for Entrepreneurs Tour of Rev: Ithaca Startup Works,Ithaca,NY,Tompkins
Sustainable Hospitality Principles,Ithaca,NY,Tompkins
Sustainable Hospitality Principles,Ithaca,NY,Tompkins
Cooperative Business Management,Ithaca,NY,Tompkins
Park Leadership Fellows - Community Service Days,Ithaca,NY,Tompkins
Park Leadership Fellows - Service Leadership Project,Ithaca,NY,Tompkins
Adirondacks Expedition,Adirondacks,NY,Essex
SHA/CIA Collaborative degree program,Hyde Park,NY,Dutchess
SHA/CIA Collaborative degree program,Hyde Park,NY,Dutchess
Cornell Cuvee: Blind Wine Tasting Competition Team,New York City,NY,New York
Shelter Medicine Club Weekend Clinics,Ithaca,NY,Tompkins
Clinical Rotation in Shelter Medicine,Ithaca,NY,Tompkins
AAP NYC,New York,NY,New York
Architecture electives with travel component,New York,NY,New York
Federal Criminal Practice,Rochester,New York,Monroe
"Deals Seminar, Investment Banking-The General Counsel's Prrspective",New York,NY,New York
Cornell Legal Research Clinic,Ithaca,NY,Tompkins
Department of Art - Wells College Book Fair,Aurora,NY,Cayuga
NYS Attorney General Clinic,syracuse,NY,Onondaga
NYS Attorney General Clinic,syracuse,NY,Onondaga
Department of ART - Print Fair in NYC,New York,NY,New York
Insect Ecology,Dryden,NY,Tompkins
Global Engagements: Living and Working in a Diverse World,Ithaca,NY,Tompkins
Exploring Science: Earth and Space,Ithaca,NY,Tompkins
SPIF Outreach,Ithaca,NY,Tompkins
Museum in the Dark,Ithaca,NY,Tompkins
The Public  Service Scholars Program: core course The Literature of American Social Action Movements,Ithaca,New York,Tompkins
Common Ground:  Education Beyond the Ivory Tower,Ithaca,New York,Tompkins
History of East Asian Martial Arts,Ithaca,NY,Tompkins
""Chinese Medicine and Healing"""Chinese Medicine and Healing"""",Ithaca,NY,Tompkins
New York Conference on Asian Studies,Utica,NY,Oneida
Ithaca High School Senior Seminar,Ithaca,NY,Tompkins
Engineers for a Sustainable World project teams,Ithaca,NY,Tompkins
Jessup Moot Competition,New York,New York,New York
Jessup Pre-Moot,New York,New York,New York
Jessup Pre-Moot,New York,New York,New York
VIS Moot Court--Pre Moot,New York,New York,New York
VIS Moot Court--Pre Moot,New York,New York,New York
Information Session and Proctoring for the North American Computational Linguistics Olympiad,Ithaca,NY,Tompkins
Undergraduate and Graduate field research in ecology and evolutionary biology,,"New York, Florida, California, Colorado, Alaska",
"Biomedical Engineering Society, Undergraduate Chapter",Ithaca,NY,Tompkins
"Community "Reentry" Engagement Project""ommunity "Reentry" Engageme""mmunity "Reentry"""munity """",Ithaca,New York,Tompkins
Stream Ecology,Ithaca,NY,Tompkins
Root Map performance project,various,NY and TX,
approximately 25 events/programs per semester,Ithaca,NY,Tompkins
course assignment,Ithaca,NY,Tompkins
Excavations at the Seneca Haudenosaunee White Springs site,Geneva,New York,Ontario
Research activities conducted in the Development of Social Cognition lab,Ithaca and surrounding areas,NY,Tompkins
"Mammalogy, Laboratory",Arnot Forest,NY,Tompkins
Modeling and simulation of real-world scientific problems,Ithaca,NY,Tompkins
Mass Incarceration and Family Life,Romulus,NY,Seneca
"Minor on Crime, Prisons, Education & Justice",Various (correctional facilities),NY,
Ethnographic Field Methods,Ithaca and NYC,New York,Tompkins
Ithaca Cemetery visit,Ithaca,NY,Tompkins
Limnology: the Ecology of Lakes -Laboratories,Cornell Biological Field Station & Lake Como & Cornell Experimental Ponds,New York,Tompkins
Prison Theatre: the possibilities of Transformation,Ithaca Campus/Auburn,New York,Tompkins
Agents of Change,Various (Binghamton/Ithaca),New York,Broome
Psychology at the Sciencenter!,Ithaca,NY,Tompkins
Italian Opera in NYC,New York City,NY,New York
The Italian American Experience- Field Trip to the John A. Calandra Institute,New York,NY,New York
Chorus annual fall retreat,Vestal,NY,Broome
Glee Club annual fall retreat,Skaneateles,NY,Onondaga
Italian Food Culture,Avon,NY,Livingston
Cornell Zen Meditation,Danby,NY,Tompkins
Inequality Community Research Internship Program,Brooklyn,NY,Kings
INFO 4320 projects show at the ScienCenter,Ithaca,NY,Tompkins
Hospital Infection Control and Sleep Quality Improvement,NYC,NY,New York
Utica Revitalization Project,Utica,New York,Oneida
MODELING AND SIMULATION OF REAL_WORLD SCIENTIFIC PROBLEMS,Ithaca,NY,Tompkins
Local Glacial and Quaternary Geology,Ithaca,NY,Tompkins
ASCE 2016 Student Steel Bridge and Concrete Canoe Competition,Buffalo,NY,Erie
Cornell Local Roads Program Summer Intern Program,various,New York,
