Name,Domestic City,Domestic State,County,City Coordinates
NYS DEC pesticide monitoring program,"Albany, Yaphank, Riverhead",NY,Albany,"-73.7562, 42.6526"
Montefiore Children's Hospital Pediatric Infusion Suite Design,Bronx,New York,Bronx,"-73.8648, 40.8448"
Agents of Change,Binghampton,New York,Broome,"-75.9180, 42.0987"
Chorus annual fall retreat,Vestal,NY,Broome,"-76.0536, 42.0856"
Department of Art - Wells College Book Fair,Aurora,NY,Cayuga,"-78.6133589, 42.7678376"
Auburn Prison Debate Society with Cornell Prison Education Program,Auburn,New York,Cayuga,"-76.5661, 42.9317"
Prison Theatre: the possibilities of Transformation,Auburn,New York,Cayuga,"-76.5661, 42.9317"
Research regarding pollinators,"Geneva, Wolcott, Auburn, Watkins Glen",NY,Cayuga,"-76.5661, 42.9317"
NRCS Perennial Biofeedstock Energy Tour & Presentations,Big Flats,NY,Chemung,"-76.9369, 42.1373"
"Adaptive ReUse Studio    Site Visit and Building Documentation in Buffalo and Elmira, NY",Buffalo 2015 and Elmira 2016,New York,Chemung,"-76.8077, 42.0898"
Hudson Climate Adaptive Design (CAD) Studio,City of Hudson,NY,Columbia,"-73.7910, 42.2529"
SHA/CIA Collaborative degree program,Hyde Park,NY,Dutchess,"-73.9015, 41.7668"
SHA/CIA Collaborative degree program,Hyde Park,NY,Dutchess,"-73.9015, 41.7668"
ASCE 2016 Student Steel Bridge and Concrete Canoe Competition,Buffalo,NY,Erie,"-78.8784, 42.8864"
"Adaptive ReUse Studio    Site Visit and Building Documentation in Buffalo and Elmira, NY",Buffalo 2015 and Elmira 2016,New York,Erie,"-78.8784, 42.8864"
High Road Fellowships,Buffalo,NY,Erie,"-78.8784, 42.8864"
Adirondacks Expedition,Adirondacks,NY,Essex,"-73.3526, 44.3101"
Hemlock Woolly Adelgid detection in the Adirondacks,Northville,NY,Fulton,"-72.6190, 40.9701"
Graduate field research trials,Batavia,New York,Genesee,"-78.1875, 42.9981"
Catskill Climate-adaptive Design (CAD) Studio,Catskill,New York,Greene,"-73.9595, 42.2146"
CHE/CCE Summer Internship Program - FNEC,Watertown,NY,Jefferson,"-75.9108, 43.9748"
Inequality Community Research Internship Program,Brooklyn,NY,Kings,"-73.9442, 40.6782"
Italian Food Culture,Avon,NY,Livingston,"-77.7456, 42.9120"
FDSC 4250: Unit Operations and Dairy Foods Processing,Oneida,NY,Madison,"-75.6513, 43.0926"
Cornell Biological Field Station Summer Internship,Bridgeport,New York,Madison,"-75.969360, 43.155346"
Federal Criminal Practice,Rochester,New York,Monroe,"-77.6088, 43.1566"
BEV-NY,Henrietta,NY,Monroe,"-77.6128, 43.0592"
Western New York IFT Food Expo,Rochester,NY,Monroe,"-77.6088, 43.1566"
Environmental Finance and Impact Investing - NYC Trek,New York,NY,New York,"-73.935242, 40.730610"
Cornell Cuvee: Blind Wine Tasting Competition Team,New York ,NY,New York,"-73.935242, 40.730610"
AAP NYC,New York,NY,New York,"-73.935242, 40.730610"
Architecture electives with travel component,New York,NY,New York,"-73.935242, 40.730610"
"Deals Seminar, Investment Banking-The General Counsel's Prrspective",New York,NY,New York,"-73.935242, 40.730610"
Department of ART - Print Fair in NYC,New York,NY,New York,"-73.935242, 40.730610"
Jessup Moot Competition,New York,New York,New York,"-73.935242, 40.730610"
Jessup Pre-Moot,New York,New York,New York,"-73.935242, 40.730610"
Jessup Pre-Moot,New York,New York,New York,"-73.935242, 40.730610"
VIS Moot Court--Pre Moot,New York,New York,New York,"-73.935242, 40.730610"
VIS Moot Court--Pre Moot,New York,New York,New York,"-73.935242, 40.730610"
Italian Opera in NYC,New York,NY,New York,"-73.935242, 40.730610"
The Italian American Experience- Field Trip to the John A. Calandra Institute,New York,NY,New York,"-73.935242, 40.730610"
Hospital Infection Control and Sleep Quality Improvement,New York,NY,New York,"-73.935242, 40.730610"
eMed Weill,New York,New York,New York,"-73.935242, 40.730610"
Cornell University Cooperative Extension-NYC Programs (CCE summer internships),New York,NY,New York,"-73.935242, 40.730610"
Cornell University Cooperative Extension - NYC Programs (CCE Internships),New York,New York,New York,"-73.935242, 40.730610"
Cornell University Cooperative Extension - NYC Programs (CCE Internships),New York,New York,New York,"-73.935242, 40.730610"
New York City Study Tour,New York,NY,New York,"-73.935242, 40.730610"
Innovation series in DEA 6550 ‰ÛÒ Innovations in Healthcare Research & Design,New York,NY,New York,"-73.935242, 40.730610"
ILR LEL Summer Fellowship Program,New York,NY,New York,"-73.935242, 40.730610"
ILR LEL Academic Year Internship,New York,NY,New York,"-73.935242, 40.730611"
ILR LEL WISP,New York,NY,New York,"-73.935242, 40.730612"
ILR-LEL Summer Fellowship,New York,NY,New York,"-73.935242, 40.730613"
ILR LEL Summer Fellowship Program,New York,NY,New York,"-73.935242, 40.730614"
ILR-LEL Summer Fellowship,New York,NY,New York,"-73.935242, 40.730615"
Organizing Engaged Learning Experience,New York,NY,New York,"-73.935242, 40.730615"
Sloan Program intersession trip,New York,NY,New York,"-73.935242, 40.730615"
CIPA New York Externship Semester,New York,New York,New York,"-73.935242, 40.730615"
NYC Professional Development Workshops,New York,NY,New York,"-73.935242, 40.730615"
ILR Summer Research Fellowship,New York,NY,New York,"-73.935242, 40.730615"
Credit Internship at the EEOC in NYC,New York,NY,New York,"-73.935242, 40.730615"
Summer Research fellowships in NYC,New York,NY,New York,"-73.935242, 40.730616"
CAHRS Working Group -- Sponsorship of Female Leaders,New York,NY,New York,"-73.935242, 40.730617"
"Theory into Practice, Landscape Architecture",New York,New York,New York,"-73.935242, 40.730617"
Extending Theory into Practice. Landscape Architecture,New York,New York,New York,"-73.935242, 40.730617"
Entrepreneurship Summit,New York,NY,New York,"-73.935242, 40.730617"
WiTNY-Women in Tech NY Conference,New York,New York,New York,"-73.935242, 40.730618"
Fintech Hackathon,New York,NY,New York,"-73.935242, 40.730619"
Fintech Conference,New York,New York,New York,"-73.935242, 40.730620"
Health Tech Conference,New York,New York,New York,"-73.935242, 40.730621"
Health Tech Hackathon,New York,New York,New York,"-73.935242, 40.730622"
Data Science Hackathon,New York,New York,New York,"-73.935242, 40.730623"
NYCOMM,New York,New York,New York,"-73.935242, 40.730623"
Ethnographic Field Methods,Ithaca and NYC,New York,New York,"-76.5019, 42.4440"
New York Conference on Asian Studies,Utica,NY,Oneida,"-75.2327, 43.1009"
Utica Revitalization Project,Utica,New York,Oneida,"-75.2327, 43.1009"
NYS Attorney General Clinic,Syracuse,NY,Onondaga,"-76.1474, 43.0481"
NYS Attorney General Clinic,Syracuse,NY,Onondaga,"-76.1474, 43.0481"
Glee Club annual fall retreat,Skaneateles,NY,Onondaga,"-76.4291, 42.9470"
Colloquium (Sloan Program),Syracuse,NY,Onondaga,"-76.1474, 43.0481"
Dairy Industry Conferences - Herd Health and Nutrition Conference,Syracuse,New York,Onondaga,"-76.1474, 43.0481"
Dairy Industry Conferences - Northeast Dairy Producers Conference,Syracuse,New York,Onondaga,"-76.1474, 43.0482"
Dairy Industry Conferences - Cornell Nutrition Conference,Syracuse,New York,Onondaga,"-76.1474, 43.0483"
North American Intercollegiate Dairy Challenge - Academy,Syracuse,New York,Onondaga,"-76.1474, 43.0483"
North American Intercollegiate Dairy Challenge - National Contest,Syracuse,New York,Onondaga,"-76.1474, 43.0483"
Cooperative Business Management,Syracuse,NY,Onondaga,"-76.1474, 43.0481"
Field Trips for PAM 5740,Ithaca and Syracuse,NY,Onondaga,"-76.1474, 43.0481"
Excavations at the Seneca Haudenosaunee White Springs site,Geneva,New York,Ontario,"-76.9856, 42.8680"
CHE-CCE Summer Internship Program,Canandaguia,New York,Ontario,"-77.2817, 42.8875"
Research regarding pollinators,"Geneva, Wolcott, Auburn, Watkins Glen",NY,Ontario,"-76.9856, 42.8680"
Green Infrastructure Workshop,Troy,NY,Rensselaer,"-73.6918, 42.7284"
Troy Urban Trails Project,Troy,NY,Rensselaer,"-73.6918, 42.7284"
Research regarding pollinators,"Geneva, Wolcott, Auburn, Watkins Glen",NY,Schuyler,"-76.8733, 42.3806"
Mass Incarceration and Family Life,Romulus,NY,Seneca,"-76.8340, 42.7525"
Native Bee Surveys in Apple Orchards (Learn to identify Native Bees),Finger Lakes Region,New York,Seneca,
Terra Interra (design studio in the Department of Landscape Architecture),Waterloo,NY,Seneca,"-76.8627, 42.9048"
